,distr,address,phone,hasrent,hastoilet,latitude,longitude
26,район Чертаново Южное,"улица Академика Янгеля, дом 14, корпус 2",(495) 381-66-51,нет,нет,55.59830069121208,37.58011657374474
27,район Зябликово,"Ореховый проезд, дом 41",(495) 382-81-10,да,да,55.61710884100237,37.72936019275616
28,район Бирюлёво Восточное,"Загорьевский проезд, дом 4",(495) 978-27-82,нет,нет,55.5767216851495,37.68321853022004
29,район Ивановское,"улица Металлургов, дом 41, строение 1",(499) 367-89-18,нет,нет,55.76562979476183,37.814390047604796
30,район Лианозово,"Алтуфьевское шоссе, дом 147А",(499) 908-35-00,нет,нет,55.90617306991834,37.58018750240795
31,Гагаринский район,"улица Косыгина, дом 17, корпус 3",(499) 137-85-30,да,да,55.70107171104542,37.55683852750413
32,Гагаринский район,"улица Косыгина, дом 17, корпус 3",(499) 137-85-30,да,да,55.70185175052366,37.551860835221476
33,район Левобережный,"Флотская улица, дом 1, строение 2",(495) 640-73-55,да,нет,55.854840820368445,37.481328997995355
34,район Митино,"Пенягинская улица, дом 14",(499) 184-34-22,нет,нет,55.836738364284834,37.371190356868844
35,район Ново-Переделкино,"Проектируемый проезд N 635, дом 9, сооружение 2",(499) 144-39-22,нет,нет,55.627771137967386,37.37200747277196
36,Молжаниновский район,"4-я улица Новосёлки, дом 2",(499) 905-47-41,да,нет,55.927130992185226,37.39314970170464
37,район Нагатинский Затон,"проспект Андропова, дом 39",(499) 612-11-55,да,да,55.676083204591215,37.671890900681845
38,район Нагатинский Затон,"проспект Андропова, дом 39",(499) 612-11-55,да,да,55.65246815528912,37.659795919294716
39,район Царицыно,"Бакинская улица, дом 20",(499) 175-33-69,нет,нет,55.62139109408179,37.656467130508766
40,район Некрасовка,"Некрасовская улица, дом 9, строение 1",(495) 706-66-75,да,да,55.68066359825396,37.92788615617667
41,район Южное Медведково,"Заповедная улица, дом 8",(495) 621-88-68,да,нет,55.86600403452142,37.6355752863398
42,Головинский район,"Кронштадтский бульвар, дом 24, корпус 2",(495) 708-05-11,нет,нет,55.84748451239709,37.50741632825878
43,район Внуково,"Рассказовская улица, дом 31",(495) 598-29-59,нет,да,55.61330880108936,37.311407227021846
44,район Северное Тушино,"улица Свободы, дом 56",(495) 640-73-55,да,да,55.85714625203124,37.452835745463624
45,район Фили-Давыдково,"Кременчугская улица, дом 36",(499) 726-15-85,нет,да,55.71390902017643,37.4622188435935
46,район Бирюлёво Восточное,"Липецкая улица, дом 22, корпус 2",(495) 329-63-00,да,да,55.59293306199973,37.67677273676531
47,район Строгино,"улица Исаковского, дом 24, корпус 1",(499) 199-01-10,нет,да,55.81114860305182,37.41736352253465
48,район Северное Тушино,"улица Вилиса Лациса, дом 23, корпус 1",(499) 199-01-10,нет,нет,55.86359598807486,37.417146883420514
49,Рязанский район,"Зарайская улица, дом 55",(495) 371-09-77,да,да,55.72918041738695,37.7746433647623
50,район Вешняки,"Вешняковская улица, дом 16",(495) 309-53-42,нет,да,55.72865941113287,37.82475556828823
